NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-1874900.97,-136278.39,308460.74,0.00,,0.00,117797.22,,0.00,0.00,,14405.79,243432.21,0.00,190.24,684286.20,414985.25,59906.15,63372.74,81555.38,25561.25,126172.25,0.00,49011.58,0.00,820564.59,0.00,-29952.23,-83.79,0.00,0.00,-1715761.58,-1745797.60,-1882076.00,-7175.02,-1874900.97,0.00,0.00,0.00,,0.00,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,3,3,2025,4
-620392.00,-704655.00,,0.00,,403001.00,,,,2414.00,,,32001.00,,1744298.00,2181714.00,204597.00,122250.00,,309685.00,25074.00,110320.00,,100537.00,2013906.00,2886369.00,-6279.00,-5457.00,-7939.00,0.00,,23107.00,3432.00,-701223.00,-80831.00,-620392.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2025,2
-543417.00,-680386.00,,0.00,,386196.00,,,,0.00,,,34592.00,,1671561.00,2092349.00,207197.00,148621.00,,276112.00,24898.00,107740.00,,100234.00,1907933.00,2772735.00,-1508.00,-5832.00,-1580.00,0.00,,12511.00,3591.00,-676795.00,-133378.00,-543417.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2025,1
-495549.00,-662895.00,,0.00,,415538.00,,,,2804.00,,,30772.00,,1798560.00,2247674.00,216307.00,84277.00,,282385.00,21151.00,98621.00,,100185.00,2107643.00,2910569.00,-4450.00,-4123.00,-5233.00,0.00,,22903.00,9097.00,-653798.00,-158249.00,-495549.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2025,3
-454075.00,-621057.00,,0.00,,454637.00,,,,0.00,,,36171.00,,1967793.00,2458601.00,251400.00,92231.00,,296918.00,23444.00,111997.00,,99909.00,2203759.00,3079658.00,-3985.00,-1275.00,-2543.00,0.00,,15306.00,7503.00,-613554.00,-159479.00,-454075.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2025,4
-358040.85,-337534.04,331020.59,0.00,,0.00,0.00,,0.00,0.00,,0.00,364.90,0.00,0.00,331385.49,216490.93,217458.06,31955.50,30198.66,0.00,161929.59,0.00,10886.79,0.00,668919.53,0.00,-13178.87,0.00,0.00,-136.00,-3252.11,-16566.98,-354101.01,3939.84,-358040.85,0.00,0.00,0.00,,0.00,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,07028,D,2,2,2025,3
-333462.95,-24237.97,54861.69,0.00,,0.00,20950.98,,0.00,0.00,,2562.16,43295.95,0.00,33.84,121704.61,73807.74,10654.69,11271.24,14505.14,4546.23,22440.53,0.00,8717.02,0.00,145942.58,0.00,-5327.19,-14.90,0.00,0.00,-305159.01,-310501.11,-334739.08,-1276.12,-333462.95,0.00,0.00,0.00,,0.00,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3,3,2025,4
-300928.66,-200679.88,0.00,228246.27,,952093.95,0.00,,0.00,0.00,,0.00,30063.53,0.00,-850.56,1209553.19,760587.05,360958.65,0.00,151556.60,1104.09,48981.11,0.00,87045.57,0.00,1410233.07,0.00,-2975.79,40.63,13545.21,0.00,-142015.33,-131405.28,-332085.16,-31156.50,-300928.66,0.00,0.00,0.00,,0.00,19917,5X,United Parcel Service,5X,United Parcel Service,06910,D,3,3,2025,4
-276521.57,-117510.57,370099.04,0.00,,0.00,130826.52,,0.00,0.00,,17673.21,315830.46,0.00,445.45,834874.68,533613.75,71027.36,70135.09,94445.59,39920.23,92697.30,0.00,50545.94,0.00,952385.25,0.00,-36230.05,-292.94,0.00,0.00,-121076.88,-157599.87,-275110.44,1411.13,-276521.57,0.00,0.00,0.00,,0.00,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,3,3,2025,3
-253097.31,-253097.31,923631.15,3489.30,,103319.92,8871.27,,0.00,0.00,,2428.46,114698.17,0.00,30512.03,1186950.28,564895.24,213177.25,134048.39,186563.94,68638.46,208068.60,0.00,60138.13,4517.60,1440047.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-253097.31,0.00,-253097.31,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2025,1
-220264.28,-164974.13,430981.63,0.00,,0.00,123828.77,,0.00,0.00,,16721.65,341541.28,0.00,697.12,913770.45,552358.70,67561.51,74292.75,93495.92,42236.28,192453.76,0.00,56345.66,0.00,1078744.58,0.00,-48746.74,-233.15,0.00,0.00,-9891.24,-58871.12,-223845.25,-3580.97,-220264.28,0.00,0.00,0.00,,0.00,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,3,3,2025,2
-194832.82,-204638.47,1262541.18,0.00,,178.47,87990.65,,2522.69,0.00,,8147.61,5394.70,0.00,115388.18,1482163.48,736222.23,198336.91,160880.96,285158.02,74862.81,108993.74,,122093.00,254.27,1686801.95,-105627.08,2259.36,-1085.84,16252.65,1280.05,37945.76,-48975.09,-253613.56,-58780.75,-194832.82,0.00,0.00,0.00,0.00,0.00,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,3,3,2025,1
-161137.30,-180007.29,0.00,227200.20,,906992.95,0.00,,0.00,0.00,,0.00,8801.24,0.00,90.13,1143084.53,708852.96,349356.82,0.00,138000.08,1161.67,46839.25,0.00,78881.04,0.00,1323091.82,0.00,-705.48,15.12,-971.98,0.00,-18521.39,-20183.73,-200191.02,-39053.72,-161137.30,0.00,0.00,0.00,,0.00,19917,5X,United Parcel Service,5X,United Parcel Service,06910,D,3,3,2025,3
-144505.00,-215944.00,5364086.00,0.00,,39964.00,20668.00,,1038.00,0.00,,,761654.00,0.00,40036.00,6227446.00,2577159.00,586882.00,547614.00,1294682.00,333519.00,677424.00,,387539.00,38571.00,6443390.00,-43954.00,10093.00,277.00,0.00,,63587.00,30003.00,-185941.00,-41436.00,-144505.00,0.00,0.00,0.00,-144505.00,0.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2025,1
-141502.93,-189871.23,0.00,234892.47,,892051.21,0.00,,0.00,0.00,,0.00,15226.42,0.00,294.41,1142464.50,700792.83,333219.69,0.00,155737.65,1122.38,56548.47,0.00,84914.72,0.00,1332335.74,0.00,4544.65,-420.01,3493.54,0.00,-17516.12,-9897.94,-199769.17,-58266.24,-141502.93,0.00,0.00,0.00,,0.00,19917,5X,United Parcel Service,5X,United Parcel Service,06910,D,3,3,2025,1
-140853.84,-160823.87,0.00,226286.23,,895471.13,0.00,,0.00,0.00,,0.00,9286.86,0.00,361.60,1131405.81,673676.12,341811.52,0.00,143446.73,1170.75,52108.69,0.00,80015.88,0.00,1292229.68,0.00,1164.72,-1061.62,1420.95,0.00,-19146.26,-17622.21,-178446.07,-37592.23,-140853.84,0.00,0.00,0.00,,0.00,19917,5X,United Parcel Service,5X,United Parcel Service,06910,D,3,3,2025,2
-139926.82,-140607.15,1267892.30,0.00,,213.84,101647.89,,2703.64,0.00,,9813.32,6713.24,0.00,122941.69,1511925.92,710525.47,201837.66,161566.81,283225.77,75419.28,100572.10,,118828.61,557.38,1652533.07,-96653.03,1045.81,-596.60,16763.03,7901.57,20302.06,-51237.17,-191844.31,-51917.50,-139926.82,0.00,0.00,0.00,0.00,0.00,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,3,3,2025,3
-134696.00,-16814.00,567105.00,522.00,,22660.00,17438.00,,1775.00,11.00,,-552.00,26830.00,370.00,29025.00,665183.00,277156.00,87621.00,64668.00,93670.00,35915.00,82803.00,,40163.00,0.00,681997.00,-5424.00,-24555.00,0.00,-396.00,0.00,2085.00,-28291.00,-45105.00,89591.00,-134696.00,0.00,0.00,0.00,,0.00,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,3,3,2025,4
-123499.15,-86894.25,1377797.88,0.00,,190.28,97293.06,,5688.01,0.00,,9589.41,5717.72,0.00,135667.50,1631943.85,730107.07,212120.77,172625.02,280668.36,85740.03,108042.83,,129167.76,366.26,1718838.10,-104523.51,935.86,-141.74,17368.43,5242.18,18876.03,-62242.76,-149137.01,-25637.86,-123499.15,0.00,0.00,0.00,0.00,0.00,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,3,3,2025,4
-116660.39,-116660.39,375422.86,852.98,,25130.72,2490.61,,0.00,0.00,,983.89,52672.85,0.00,13968.59,471522.51,226688.82,88017.96,55166.55,76812.76,28155.68,86665.16,0.00,24832.29,1843.69,588182.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-116660.39,0.00,-116660.39,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3,3,2025,1
-112003.22,3990.56,5809328.35,357.27,,10551.22,257555.07,,7143.24,0.00,,20201.52,613008.83,0.00,2032900.48,8751045.99,2608337.36,1039956.31,654039.62,910034.47,334534.51,1017313.62,0.00,293802.77,1889036.77,8747055.42,-406470.74,-45995.63,-10560.95,0.00,0.00,203046.63,-259980.69,-255990.12,-143986.90,-112003.22,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2025,1
-100127.16,-100127.16,378504.11,913.19,,34368.99,2945.76,,0.00,0.00,,1183.11,57169.92,0.00,12450.39,487535.47,224682.05,86493.13,58709.83,78093.62,30685.25,83096.57,0.00,23591.94,2310.25,587662.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100127.16,0.00,-100127.16,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3,3,2025,4
-92025.14,-92025.14,2029572.72,4678.37,,138620.04,18123.29,,0.00,0.00,,5962.54,220123.83,0.00,54789.37,2471870.16,999552.90,383570.32,254861.41,338537.80,123142.64,353793.32,0.00,102572.28,7864.62,2563895.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-92025.14,0.00,-92025.14,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2025,3
-82311.98,-82311.98,286857.77,851.13,,25765.48,2256.68,,0.00,0.00,,851.13,37107.29,0.00,9190.54,362880.02,172419.02,66860.35,44348.38,58947.26,21347.62,62007.95,0.00,17923.89,1337.53,445192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-82311.98,0.00,-82311.98,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3,3,2025,3
