YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2024,1,1,19393,WN,WN,Southwest Airlines Co.,3,0.00,167117246.00,167117246.00,0.00,0.00,2080941.00,2080941.00,169198187.00,0.00,810.00,810.00,0.00,0.00,0.00,0.00,0.00,810.00,167118056.00,2080941.00,169198997.00,0.00,463383835.00,463383835.00,0.00,0.00,6279371.00,6279371.00,469663206.00,0.00,3019.00,3019.00,0.00,0.00,0.00,0.00,0.00,3019.00,463386854.00,6279371.00,469666225.00
2024,1,1,19687,QX,QX,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,1,1,19690,HA,HA,Hawaiian Airlines Inc.,3,0.00,16482881.00,16482881.00,0.00,6419228.00,0.00,6419228.00,22902109.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16482881.00,6419228.00,22902109.00,0.00,44026969.00,44026969.00,0.00,16505084.00,0.00,16505084.00,60532053.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44026969.00,16505084.00,60532053.00
2024,1,1,19790,DL,DL,Delta Air Lines Inc.,3,0.00,167757794.00,167757794.00,49518334.00,20713012.00,33905927.00,104137273.00,271895067.00,0.00,1398245.00,1398245.00,31817.00,17599.00,6168.00,0.00,55584.00,1453829.00,169156039.00,104192857.00,273348896.00,0.00,459912534.00,459912534.00,135755853.00,56785283.00,92954017.00,285495153.00,745407687.00,0.00,3833326.00,3833326.00,87226.00,48248.00,16910.00,0.00,152384.00,3985710.00,463745860.00,285647537.00,749393397.00
2024,1,1,19805,AA,AA,American Airlines Inc.,3,0.00,180189352.00,180189352.00,44088604.00,12600155.00,51871202.00,108559961.00,288749313.00,0.00,396632.00,396632.00,25145.00,135008.00,118790.00,0.00,278943.00,675575.00,180585984.00,108838904.00,289424888.00,0.00,473562902.00,473562902.00,117003530.00,32731601.00,141050400.00,290785531.00,764348433.00,0.00,1015869.00,1015869.00,68956.00,348321.00,324653.00,0.00,741930.00,1757799.00,474578771.00,291527461.00,766106232.00
2024,1,1,19874,8C,8C,Air Transport International,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206408.00,206408.00,0.00,0.00,0.00,781839.00,781839.00,988247.00,206408.00,781839.00,988247.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,602238.00,602238.00,0.00,0.00,0.00,3122352.00,3122352.00,3724590.00,602238.00,3122352.00,3724590.00
2024,1,1,19917,5X,5X,United Parcel Service,3,0.00,40128000.00,40128000.00,14010000.00,20853000.00,2519000.00,37382000.00,77510000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40128000.00,37382000.00,77510000.00,0.00,104981000.00,104981000.00,37226000.00,54392000.00,6817000.00,98435000.00,203416000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104981000.00,98435000.00,203416000.00
2024,1,1,19930,AS,AS,Alaska Airlines Inc.,3,1269250.00,43704441.00,44973691.00,0.00,0.00,2227687.00,2227687.00,47201378.00,239904.00,136292.00,376196.00,0.00,0.00,0.00,0.00,0.00,376196.00,45349887.00,2227687.00,47577574.00,3523746.00,131332774.00,134856520.00,0.00,0.00,6725883.00,6725883.00,141582403.00,666032.00,363385.00,1029417.00,0.00,0.00,0.00,0.00,0.00,1029417.00,135885937.00,6725883.00,142611820.00
2024,1,1,19977,UA,UA,United Air Lines Inc.,3,0.00,144336192.00,144336192.00,58529871.00,59519119.00,39077340.00,157126330.00,301462522.00,0.00,569587.00,569587.00,11293.00,202847.00,29727.00,52927.00,296794.00,866381.00,144905779.00,157423124.00,302328903.00,0.00,379361932.00,379361932.00,155582315.00,154791566.00,107398992.00,417772873.00,797134805.00,0.00,1567545.00,1567545.00,32856.00,526661.00,86669.00,138199.00,784385.00,2351930.00,380929477.00,418557258.00,799486735.00
2024,1,1,20007,5Y,5Y,Atlas Air Inc.,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17080566.00,17080566.00,5329343.00,30514265.00,7358561.00,3258698.00,46460867.00,63541433.00,17080566.00,46460867.00,63541433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47532516.00,47532516.00,17408042.00,82820339.00,21319564.00,13653945.00,135201890.00,182734406.00,47532516.00,135201890.00,182734406.00
